fileName,realms,mainList,spellList,level,spellName,details,areaOfEffect,duration,range,type
EvilChanneling,引導,邪惡引導,創傷,50,真．造成傷勢*,目標損失所有生命值，並額外承受施法者等級數的傷害。,1 目標,P,2',F
EvilChanneling,引導,邪惡引導,惡魔召喚,0,說明,注意：關於惡魔能在位面停留多久的時限主要假設惡魔透過召喚惡魔法術抵達。 如果惡魔透過其他方式到來的話，說不定能停留更久。有關惡魔的更多訊息，請參見《生物法則》，有關惡魔召喚的更多訊息，請參見本卷第 10.3 節。,,,,
EvilChanneling,引導,邪惡引導,惡魔召喚,1,召喚法陣I,施法者賦予 5-10'R 的圓形圖（簡單的五角形就足夠了，但許多人更喜歡複雜的），並將惡魔限制在其邊界內。 這個法陣將阻止任何I類惡魔離開或攻擊（包括施展任何法術或使用其他魔法能力）穿過這個法陣。 如果惡魔被留在法陣中直到持續時間結束，惡魔就會被釋放，並且在返回其原生位面前停留在此位面1分鐘／每惡魔等級。,5'-10'R,1 小時,觸碰,E
EvilChanneling,引導,邪惡引導,惡魔召喚,2,驅逐惡魔I,一個I類惡魔會立即被驅逐回原生位面。 如果惡魔目前被限制在召換法陣內，則 RR -25。,1 惡魔,—,100',F
EvilChanneling,引導,邪惡引導,惡魔召喚,3,召喚惡魔I,召喚一個I類惡魔，它出現在施法者指定範圍內的某個點（在召喚法陣內通常比較明智）。 惡魔需要2輪才能顯現，在此期間能識別出現的惡魔種類（使用生物知識：惡魔）。 如果惡魔不在召喚法陣內，它能按照自己的意願行事，並且停留1分鐘／每惡魔等級，然後消失回其原生位面。 如果在召喚法陣內，它會一直留在那裡，直到有東西導致它被釋放或驅逐。 施展此法術時，施法者必須進行法術掌握檢定（難度為簡單 +20）。 成功時，出現的惡魔種類由施法者決定；在絕對成功的情況下，施法者能從該種惡魔的可能等級範圍中選擇該惡魔等級（或指定已知的特定惡魔）。 部分成功意味著施法者知道他得到的是哪種惡魔（不需要嘗試生物傳說：惡魔）。 失敗意味著召喚出正確類型的隨機惡魔。 絕對失敗意味著施法者隨機召喚更高類型的惡魔（在惡魔召喚I的情況下，這將是II類惡魔）。,1 惡魔,可變,50',E
EvilChanneling,引導,邪惡引導,惡魔召喚,4,控制惡魔I,在此法術持續時間內，惡魔服從施法者。 在此法術結束時，惡魔會消失回到它的原生位面。 如果惡魔被困在召喚法陣內，它的 RR -25。 然而，如果惡魔RR成功，它將擺脫任何禁錮，並能停留1分鐘／每惡魔等級。 控制失敗通常會激怒惡魔。 此法術僅影響I類惡魔。,1 惡魔,1 分鐘/每級,50',F
EvilChanneling,引導,邪惡引導,惡魔召喚,5,召喚法陣II,與召喚法陣I一樣，但影響II類或更低的惡魔。,5'-10'R,1 小時,觸碰,E
EvilChanneling,引導,邪惡引導,惡魔召喚,6,驅逐惡魔II,與驅逐惡魔I一樣，但影響II類或更低的惡魔。,1 惡魔,—,100',F
EvilChanneling,引導,邪惡引導,惡魔召喚,7,召喚惡魔II,與召喚惡魔I一樣，但為II類惡魔且的法術掌握檢定難度為還行 (+10)。,1 惡魔,可變,50',E
EvilChanneling,引導,邪惡引導,惡魔召喚,8,控制惡魔II,與控制惡魔I一樣，但影響II類或更低的惡魔。,1 惡魔,1 分鐘/每級,50',F
EvilChanneling,引導,邪惡引導,惡魔召喚,9,召喚法陣III,與召喚法陣I一樣，但影響III類或更低的惡魔。,5'-10'R,1 小時,觸碰,E
EvilChanneling,引導,邪惡引導,惡魔召喚,10,驅逐惡魔III,與驅逐惡魔I一樣，但影響III類或更低的惡魔。,1 惡魔,—,100',F
EvilChanneling,引導,邪惡引導,惡魔召喚,11,召喚惡魔III,與召喚惡魔I一樣，但為III類惡魔且的法術掌握檢定難度為中等 (+0)。,1 惡魔,可變,50',E
EvilChanneling,引導,邪惡引導,惡魔召喚,12,控制惡魔III,與控制惡魔I一樣，但影響III類或更低的惡魔。,1 惡魔,1 分鐘/每級,50',F
EvilChanneling,引導,邪惡引導,惡魔召喚,13,召喚法陣IV,與召喚法陣I一樣，但影響IV類或更低的惡魔。,5'-10'R,1 小時,觸碰,E
EvilChanneling,引導,邪惡引導,惡魔召喚,14,驅逐惡魔IV,與驅逐惡魔I一樣，但影響IV類或更低的惡魔。,1 惡魔,—,100',F
EvilChanneling,引導,邪惡引導,惡魔召喚,15,召喚惡魔IV,與召喚惡魔I一樣，但為IV類惡魔且的法術掌握檢定難度為困難 (-10)。,1 惡魔,可變,50',E
EvilChanneling,引導,邪惡引導,惡魔召喚,16,控制惡魔IV,與控制惡魔I一樣，但影響IV類或更低的惡魔。,1 惡魔,1 分鐘/每級,50',F
EvilChanneling,引導,邪惡引導,惡魔召喚,17,召喚法陣V,與召喚法陣I一樣，但影響V類或更低的惡魔。,5'-10'R,1 小時,觸碰,E
EvilChanneling,引導,邪惡引導,惡魔召喚,18,驅逐惡魔V,與驅逐惡魔I一樣，但影響V類或更低的惡魔。,1 惡魔,—,100',F
EvilChanneling,引導,邪惡引導,惡魔召喚,19,召喚惡魔V,與召喚惡魔I一樣，但為V類惡魔且的法術掌握檢定難度為非常難 (-20)。,1 惡魔,可變,50',E
EvilChanneling,引導,邪惡引導,惡魔召喚,20,控制惡魔V,與控制惡魔I一樣，但影響V類或更低的惡魔。,1 惡魔,1 分鐘/每級,50',F
EvilChanneling,引導,邪惡引導,惡魔召喚,25,召喚法陣VI,與召喚法陣I一樣，但影響VI類或更低的惡魔。,5'-10'R,1 小時,觸碰,E
EvilChanneling,引導,邪惡引導,惡魔召喚,30,驅逐惡魔VI,與驅逐惡魔I一樣，但影響VI類或更低的惡魔。,1 惡魔,—,100',F
EvilChanneling,引導,邪惡引導,惡魔召喚,35,召喚惡魔VI,與召喚惡魔I一樣，但為VI類惡魔且的法術掌握檢定難度為極其困難 (-30)。,1 惡魔,可變,50',E
EvilChanneling,引導,邪惡引導,惡魔召喚,40,控制惡魔VI,與控制惡魔I一樣，但影響VI類或更低的惡魔。,1 惡魔,1 分鐘/每級,50',F
EvilChanneling,引導,邪惡引導,惡魔召喚,50,真．召喚惡魔,與召喚惡魔I一樣，但召喚大於 VI 類的惡魔，並且所需的法術掌握檢定難度為異想天開 (-50)，由於這是最強大的惡魔類別，因此絕對失敗只有失敗的結果。 但這種強大的惡魔無法像那些力量較小的惡魔那樣被控制，所以使用之前要仔細考慮。,1 惡魔,可變,50',E
EvilChanneling,引導,邪惡引導,惡魔契約,0,說明,注意：惡魔的慾望與凡人一樣各不相同，但他們通常渴望凡人位面的自由、血和具有重要價值的物質財富。 他們的援助價格根據所要求的內容、惡魔種類和個性以及其他因素而有所不同。 愚蠢的議價可能損害施法者。 有些惡魔會以「靈魂」為交易對象，但這種東西只能提供一次，所以在進行交易之前應該仔細討價還價。惡魔在特定位面的任何停留期間只能受到一個釋放惡魔法術的影響。有關處理召喚惡魔的更多訊息，請參見第 10.3 節。由於施法者和魔寵之間建立了極其牢固和親密的聯繫，任何消除這種聯繫的嘗試都會受到 100 減值（通常在解除這種聯繫時，聯繫的 RR 會獲得 +100 加值）。,,,,
EvilChanneling,引導,邪惡引導,惡魔契約,1,惡魔知識,施法者的腦海中充滿了黑暗秘密，牽引著他的潛意識。 任何關於惡魔相關主題的知識或科學檢定獲得+25加值。,施法者,1 分鐘/每級,自身,U
EvilChanneling,引導,邪惡引導,惡魔契約,2,束縛誓言,施法者與一個惡魔締結協議，根據此法術，雙方必須遵守他們所達成的協議。 此法術將持續到交易因約定的時間限制而到期或根本不再適用為止。 要打破這個法術是極其困難的。 它有 RR +100，並能抵抗任何形式的驅散或其他移除或無效化它的魔法。 協議雙方不得試圖規避誓言，否則會引發違反協議的懲罰。 一旦違反協議，違規方就會受到E級神聖重擊，然後在下一輪受到D級神聖重擊，依此類推，直到第5輪受到A級神聖重擊。 這些重擊不會因為體型而調整。,施法者+惡魔,可變,50',U
EvilChanneling,引導,邪惡引導,惡魔契約,3,惡魔任務I,允許惡魔在為施法者執行任務時留在這個位面。 施法者和惡魔必須已立下束縛誓言。持續時間是直到惡魔完成其使命（如果尚未收到獎勵且因任務導致惡魔遠離施法者，則會返回施法者身邊），其任務以失敗告終（例如，它被派去取回的物品已被摧毀） ，或長達1小時／每級的持續時間。 當法術生效時，惡魔只能執行其任務（或在任務完成後返回施法者身邊）。 當法術結束時，除非其他法術允許惡魔留下來，否則惡魔將在1分鐘／每級的寬限期後返回其原生位面。,1 惡魔,可變,50',U
EvilChanneling,引導,邪惡引導,惡魔契約,4,魔寵I,在1週時間內，施法者必須每天施放該法術並灑出一些自己的血液（在此過程中受到 1-10 傷害）。 在那1週結束時，施法者將吸引第1階段魔寵進入這個世界並與其建立聯繫。 有關魔寵及其與施法者關係的詳細訊息，請參閱第 10.3 節。,1 魔寵,P,10',U
EvilChanneling,引導,邪惡引導,惡魔契約,5,惡魔技能I,施法者能選擇任何一種作品、工藝、知識、醫療、表演藝術或志業技能時獲得 +25 加值。 此加值一直持續到施法者施展另個惡魔技能（同時間只能啟動一個惡魔技能法術）、施法者接觸或被聖物接觸（如果邪穢物品與黑暗之神有關而非惡魔有關，也會如此） ，處於神聖之地，或受到非邪惡引導者的任何非情報法術的影響。,施法者,可變,自身,U
EvilChanneling,引導,邪惡引導,惡魔契約,6,惡魔視界I（,允許施法者觀察血泊中同一位面上的任何位置（血液必須沒有凝結；法術將在法術持續時間內防止凝結）。 此法術沒有距離限制，可以聚焦於施法者個人熟悉或能充分描述以唯一識別的任何已知地點、生物或物體。 受到針對情報法術魔法保護的主體，會自動成功。 此法術也無法揭示聖地上的任何東西，儘管能夠監視聖物。,施法者,1 分鐘/每級,自身,U
EvilChanneling,引導,邪惡引導,惡魔契約,7,惡魔任務II,與惡魔任務I一樣，但持續時間為1天／每級。,1 惡魔,可變,50',U
EvilChanneling,引導,邪惡引導,惡魔契約,8,魔寵II,此法術必須每天對施法者的第I階層魔寵施展，持續兩週。 結束時魔寵會汲取更多來自原生位面的力量，並顯現為第II階段。 請參閱第 10.3 節以了解魔寵的各個階段。,1 魔寵,P,10',U
EvilChanneling,引導,邪惡引導,惡魔契約,9,惡魔技能II,與惡魔技能I一樣，但有+50加值。,施法者,可變,自身,U
EvilChanneling,引導,邪惡引導,惡魔契約,10,釋放惡魔I,將惡魔從任何束縛的召喚法陣中解放出來，並允許其停留10分鐘／每級後返回其原生位面。,1 惡魔,10 分鐘/每級,50',U
EvilChanneling,引導,邪惡引導,惡魔契約,11,惡魔視界II,與惡魔視界I一樣，但施法者聽到所見地點正在發生的事情。,施法者,1 分鐘/每級,自身,U
EvilChanneling,引導,邪惡引導,惡魔契約,12,魔寵III,與魔寵II一樣，但將第II階段的魔寵強化為第III階段，且需持續3週。,1 魔寵,P,10',U
EvilChanneling,引導,邪惡引導,惡魔契約,13,惡魔任務III,與惡魔任務I一樣，但持續時間為1週／每級。,1 惡魔,可變,50',U
EvilChanneling,引導,邪惡引導,惡魔契約,14,惡魔技能III,與惡魔技能I一樣，但有+75加值。,施法者,可變,自身,U
EvilChanneling,引導,邪惡引導,惡魔契約,15,惡魔視界III,與惡魔視界II一樣，但施法者的景象即使在完全黑暗的情況下也能如白天視物一般。,施法者,1 分鐘/每級,自身,U
EvilChanneling,引導,邪惡引導,惡魔契約,16,魔寵IV,與魔寵II一樣，但將第III階段的魔寵強化為第IV階段，且需持續4週。,1 魔寵,P,10',U
EvilChanneling,引導,邪惡引導,惡魔契約,17,釋放惡魔II,與釋放惡魔I一樣，但持續1小時／每級。,1 惡魔,1 小時/每級,50',U
EvilChanneling,引導,邪惡引導,惡魔契約,18,惡魔任務IV,與惡魔任務I一樣，但持續時間為1年／每級。,1 惡魔,可變,50',U
EvilChanneling,引導,邪惡引導,惡魔契約,19,惡魔技能IV,與惡魔技能I一樣，但有+100加值。,施法者,可變,自身,U
EvilChanneling,引導,邪惡引導,惡魔契約,20,魔寵V,與魔寵II一樣，但將第IV階段的魔寵強化為第V階段，且需持續5週。,1 魔寵,P,10',U
EvilChanneling,引導,邪惡引導,惡魔契約,25,釋放惡魔III,與釋放惡魔I一樣，但持續1天／每級。,1 惡魔,1 天/每級,50',U
EvilChanneling,引導,邪惡引導,惡魔契約,30,魔寵VI,與魔寵II一樣，但將第V階段的魔寵強化為第VI階段，且需持續6週。,1 魔寵,P,10',U
EvilChanneling,引導,邪惡引導,惡魔契約,35,欺騙死亡,此法術只能使用一次（如果用了）。 使用後施法者將自己變成巫妖，最令人恐懼的不死生物之一。 假設施法者在嘗試時失敗，他就會死。 成功後，施法者會成為不死生物，而不會真正死亡。 此時，施法者已被魔法所維持，處於生與死之間。,施法者,P,自身,U
EvilChanneling,引導,邪惡引導,惡魔契約,40,釋放惡魔IV,與釋放惡魔I一樣，但持續1週／每級。,1 惡魔,1 週/每級,50',U
EvilChanneling,引導,邪惡引導,惡魔契約,50,真．欺騙死亡,與欺騙死亡一樣，但施法者的器官能轉移到準備好的容器（罐子、盒子、箱子等）。 並使施法者變成更強大的經典巫妖，只有當裝有他器官的容器被摧毀時才會真正被摧毀。,施法者,P,自身,U
EvilChanneling,引導,邪惡引導,詛咒,0,說明,無,,,,
EvilChanneling,引導,邪惡引導,詛咒,1,偵測詛咒,偵測對物品或人的詛咒。,1 目標,—,10',I
EvilChanneling,引導,邪惡引導,詛咒,2,夜視詛咒,目標的光線視覺顛倒可以在夜晚清晰視物，但在白天卻如同黑夜一般。,1 目標,P,100',F
EvilChanneling,引導,邪惡引導,詛咒,3,天空詛咒,目標永遠無法以任何方式自願飛行，也無法攀爬超過 100' 高。,1 目標,P,100',F
EvilChanneling,引導,邪惡引導,詛咒,4,潰瘍詛咒,目標只能吃麵包或乳製品。 其他任何事情都會加劇他的潰瘍（如果他失敗4級物理RR），他將無力 1-10 小時。,1 目標,P,100',F
EvilChanneling,引導,邪惡引導,詛咒,5,行走詛咒,目標的移動速度無法超過行走速度（但可以被更快的速度被攜帶或騎行）。,1 目標,P,100',F
EvilChanneling,引導,邪惡引導,詛咒,6,草食詛咒,目標只能吃綠葉。 吃其他食物會使他在 1-10 小時內喪失行為能力（如果他失敗6級物理RR）。,1 目標,P,100',F
EvilChanneling,引導,邪惡引導,詛咒,7,海水詛咒,目標永遠不會主動游泳、進入任何水（甚至洗澡）或上船。,1 目標,P,100',F
EvilChanneling,引導,邪惡引導,詛咒,8,犯蠢詛咒,目標所有攻擊時的犯蠢值（在因技能而減少之前）均加倍（例如，從 4 變為 8）。 當擲骰絕對檢定時，任何 50 或更低的結果都是絕對失敗。 當擲骰百分比檢定時，「F」結果總是會導致一些額外問題。,1 目標,P,100',F
EvilChanneling,引導,邪惡引導,詛咒,9,絕罰,如果目標是引導法術使用者，目標將失去所有PP。 他無法施展任何來自引導領域的法術，甚至無法使用包括符文在內的魔法物品。 混合引導使用者只會失去一半PP，但無法使用引導基本列表。 在法術持續時間結束或詛咒解除之前，這些 PP 無法恢復。,1 目標,1 天/10 失敗差額,100',F
EvilChanneling,引導,邪惡引導,詛咒,10,母語詛咒,目標只能用他的母語說話和書寫。,1 目標,P,100',F
EvilChanneling,引導,邪惡引導,詛咒,11,不育詛咒,目標不孕且無能。,1 目標,P,100',F
EvilChanneling,引導,邪惡引導,詛咒,12,異能水蛭,目標每 10 分鐘失去 1 PP。 PP能正常恢復，但還是會繼續減少。,1 目標,P,100',F
EvilChanneling,引導,邪惡引導,詛咒,13,禍水詛咒,目標的外表變得極為迷人。 如果任何人看到目標裸露的臉或進入 3' 內（並且具有適當的性取向且未通過 RR），則該人將嘗試佔有並帶走目標（必要時進行戰鬥）。 有些人會根據觀點對其 RR（正面或負面）進行修改（來自經常綁架新娘的部落的享樂主義者將受到大量減值，宣誓獨身的苦行僧將有加值）。,1 目標,P,100',F
EvilChanneling,引導,邪惡引導,詛咒,14,凝血詛咒,目標的血液會凝固並在任何割傷區域周圍形成血塊（至少流血1／每輪）。 血塊將切斷給定血管供血區域的循環，並且由於系統損壞，目標將在2-20 分鐘後失去受影響的身體部分（例如，大腿受傷可能最終意味著失去腿部；頸部受傷將是致命的）。 極其困難（-30）醫療檢定，並花費 1d10 輪，能防止身體部位的損失，就像來自鮮血系，血液專精或顧血法的接合術一樣。,1 目標,P,100',F
EvilChanneling,引導,邪惡引導,詛咒,15,醜陋詛咒,目標的外表變得醜陋而可怕。 如果某人看到目標未遮蓋的臉部或進入目標 3' 以內，則必須進行 RR。 如果他失敗超過 50，他就會攻擊目標。 如果他失敗 50 或更少，他就會盡一切努力逃離目標，除非危及自己的安全。 即使他成功了，觀眾也會對目標感到極度厭惡。 朋友和家人的 RR 會獲得加值，但即使是他們也會以憐憫和厭惡的眼光看待目標。,1 目標,P,100',F
EvilChanneling,引導,邪惡引導,詛咒,16,說謊詛咒,無論話題如何，目標在50%的時間都會說謊。,1 目標,P,100',F
EvilChanneling,引導,邪惡引導,詛咒,17,損壞詛咒,當目標擲出對子時（例如，自然擲骰為 44），他所使用的裝備必須進行損壞檢定。,1 目標,P,100',F
EvilChanneling,引導,邪惡引導,詛咒,18,實話詛咒,目標只能說真話。,1 目標,P,100',F
EvilChanneling,引導,邪惡引導,詛咒,19,傷口復發,每天一次（隨機時間），目標會感受到舊傷口帶來的疼痛。 對於新角色，50% 的情況下將其視為A級鈍擊重擊（重骰致死結果），其餘 50% 的情況下會受到 1d10 傷害。 或者，GM 能重新揭開特定的舊傷口。,1 目標,P,100',F
EvilChanneling,引導,邪惡引導,詛咒,20,奔跑詛咒,目標必須以盡可能快的速度移動，直到精疲力盡（達到-100減值）。 他可以被束縛，但只要被釋放，或者他休息足夠從減值恢復到 -50 以下，他就會再次開始奔跑。,1 目標,P,100',F
EvilChanneling,引導,邪惡引導,詛咒,25,弒友詛咒,每當目標處於 10' 以內的朋友附近的戰鬥情況時，每回合有 10% 機率（非累積）攻擊他的一位朋友（如果有多個目標，則隨機決定）並試圖殺死那個朋友。 基於此目的，「朋友」包括任何同伴、盟友或同事。,1 目標,P,100',F
EvilChanneling,引導,邪惡引導,詛咒,30,真．絕罰,與絕罰一樣，但效果為永久，直到解除。,1 目標,P,100',F
